# Phase 0 draft: compact scalar byte strings; remaining extensions use stand-in tag 17484.
# id	profiles	type	diagnostic	canonical_hex	storage_hex	clojure_value	rust_value
symbol-empty-name	draft-data	symbol	absent namespace, empty name	41fc	41fc	(symbol nil "")	Value::Symbol{namespace:None,name:""}
symbol-empty-namespace	draft-data	symbol	empty namespace, name a	43e10061	43e10061	(symbol "" "a")	Value::Symbol{namespace:Some(""),name:"a"}
symbol-embedded-nul	draft-data	symbol	namespace n NUL s, name a NUL b	48e1036e0073610062	48e1036e0073610062	(symbol "n\u0000s" "a\u0000b")	Value::Symbol{namespace:Some("n\0s"),name:"a\0b"}
symbol-unqualified-slash	draft-data	symbol	unqualified name user/id	48fc757365722f6964	48fc757365722f6964	(symbol nil "user/id")	Value::Symbol{namespace:None,name:"user/id"}
symbol-unicode	draft-data	symbol	λ/😀	48e102cebbf09f9880	48e102cebbf09f9880	(symbol "λ" "😀")	Value::Symbol{namespace:Some("λ"),name:"😀"}
symbol-namespace-128	draft-data	symbol	128-byte namespace, name a	5884e18001787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787861	5884e18001787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787878787861	(symbol (apply str (repeat 128 "x")) "a")	Value::Symbol{namespace:Some("x".repeat(128)),name:"a"}
keyword-name-22	draft-data	keyword	22-byte unqualified name	57fb61616161616161616161616161616161616161616161	57fb61616161616161616161616161616161616161616161	(Keyword/intern nil (apply str (repeat 22 "a")))	Value::Keyword{namespace:None,name:"a".repeat(22)}
keyword-name-23	draft-data	keyword	23-byte unqualified name	5818fb6161616161616161616161616161616161616161616161	5818fb6161616161616161616161616161616161616161616161	(Keyword/intern nil (apply str (repeat 23 "a")))	Value::Keyword{namespace:None,name:"a".repeat(23)}
character-zero	draft-data	character	UTF-16-0000	42e200	42e200	(char 0x0000)	Value::Character(0x0000)
character-byte-max	draft-data	character	UTF-16-00FF	42e2ff	42e2ff	(char 0x00ff)	Value::Character(0x00ff)
character-two-byte-min	draft-data	character	UTF-16-0100	43e20100	43e20100	(char 0x0100)	Value::Character(0x0100)
character-max	draft-data	character	UTF-16-FFFF	43e2ffff	43e2ffff	(char 0xffff)	Value::Character(0xffff)
character-low-surrogate	draft-data	character	UTF-16-DC00	43e2dc00	43e2dc00	(char 0xdc00)	Value::Character(0xdc00)
regex-empty	draft-data	regex	Java regex with flags 0	42e300	42e300	(Pattern/compile "")	Value::Regex{source:"",flags:0}
regex-unicode	draft-data	regex	Java regex with flags 2	48e302cebbf09f9880	48e302cebbf09f9880	(Pattern/compile "λ😀" Pattern/CASE_INSENSITIVE)	Value::Regex{source:"λ😀",flags:2}
regex-embedded-nul	draft-data	regex	Java regex with flags 0	45e300610062	45e300610062	(Pattern/compile "a\u0000b")	Value::Regex{source:"a\0b",flags:0}
regex-source-21	draft-data	regex	Java regex with flags 0	57e300616161616161616161616161616161616161616161	57e300616161616161616161616161616161616161616161	(Pattern/compile (apply str (repeat 21 "a")))	Value::Regex{source:"a".repeat(21),flags:0}
regex-source-22	draft-data	regex	Java regex with flags 0	5818e30061616161616161616161616161616161616161616161	5818e30061616161616161616161616161616161616161616161	(Pattern/compile (apply str (repeat 22 "a")))	Value::Regex{source:"a".repeat(22),flags:0}
